seqid	protein_class	prot_len	mean_disorder	frac_disordered	has_prd
RNaseH_CoDi4.5	RNaseH	152	0.2197	0.0855	0
RNaseH_CoDi4.1	RNaseH	152	0.2705	0.0	0
RNaseH_CoDi4.4	RNaseH	152	0.3005	0.2368	0
RNaseH_CoDi3.1	RNaseH	152	0.2409	0.0	0
RNaseH_CoDi2.4	RNaseH	152	0.1084	0.0	0
RNaseH_CoDi7.1	RNaseH	152	0.1692	0.0	0
RNaseH_Osser	RNaseH	151	0.1834	0.0	0
RNaseH_PyRE1G1	RNaseH	151	0.1592	0.1192	0
RT_Tricopia	RT	250	0.079	0.0	0
RT_Hydra1-2	RT	252	0.0633	0.0	0
RT_Hydra1-1	RT	250	0.0733	0.0	0
RT_pCretro3	RT	248	0.0576	0.0	0
RT_pCretro6	RT	251	0.0467	0.0	0
RT_1731	RT	253	0.0561	0.0	0
RT_Xanthias	RT	253	0.0702	0.0	0
RT_SIRE1-4	RT	251	0.0511	0.0	0
RT_Opie-2	RT	251	0.0463	0.0	0
RT_Endovir1-1	RT	251	0.0417	0.0	0
RT_ToRTL1	RT	248	0.1012	0.0	0
RT_TSI-9	RT	251	0.0601	0.0	0
RT_Araco	RT	251	0.0563	0.0	0
RT_Oryco1-1	RT	262	0.0476	0.0	0
RT_Poco	RT	250	0.0429	0.0	0
RT_Oryco1-2	RT	240	0.1322	0.0	0
RT_Melmoth	RT	255	0.0533	0.0	0
RT_Retrofit	RT	251	0.0526	0.0	0
RT_Koala	RT	249	0.0556	0.0	0
RT_Hopscotch	RT	255	0.2063	0.1765	0
RT_Tto1	RT	254	0.072	0.0	0
RT_Batata	RT	254	0.077	0.0	0
RT_Sto-4	RT	253	0.0653	0.0	0
RT_Fourf	RT	252	0.0589	0.0	0
RT_Tork4	RT	255	0.0653	0.0	0
RT_RTvr2	RT	253	0.0702	0.0	0
RT_V12	RT	254	0.1122	0.0	0
RT_Tnt-1	RT	254	0.0594	0.0	0
RT_Koco	RT	250	0.0407	0.0	0
RT_Copia	RT	250	0.0744	0.0	0
RT_Mtanga	RT	251	0.0545	0.0	0
RT_Humnum	RT	252	0.0626	0.0	0
RT_Yokozuna	RT	232	0.0794	0.0	0
RT_CoDi6.3	RT	250	0.1956	0.204	0
RT_CoDi6.2	RT	249	0.1207	0.0	0
RT_CoDi6.4	RT	274	0.0587	0.0	0
RT_CoDi6.5	RT	268	0.1469	0.1343	0
RT_CoDi6.1	RT	255	0.1585	0.0	0
RT_CoDi6.7	RT	254	0.0799	0.0	0
RT_CoDi6.6	RT	254	0.0961	0.0	0
RT_Olco1	RT	244	0.0567	0.0	0
RT_Zeco1	RT	244	0.0537	0.0	0
RT_GalEa1	RT	244	0.0737	0.0	0
RT_Cico1	RT	246	0.0968	0.0	0
RT_Zeco2	RT	250	0.068	0.0	0
RT_Tse1	RT	247	0.0786	0.0	0
RT_Ty1B	RT	241	0.0744	0.0	0
RT_Ty2	RT	242	0.0872	0.0	0
RT_Ty4	RT	249	0.0572	0.0	0
RT_Tkm1	RT	247	0.0994	0.0	0
RT_pCal	RT	245	0.0919	0.0	0
RT_Tdh2	RT	244	0.0698	0.0	0
RT_CoDi5.3	RT	269	0.0874	0.0	0
RT_CoDi5.2	RT	269	0.0801	0.0	0
RT_CoDi5.1	RT	269	0.0762	0.0	0
RT_CoDi5.6	RT	273	0.0495	0.0	0
RT_CoDi5.5	RT	272	0.0545	0.0	0
RT_CoDi5.4	RT	271	0.0623	0.0	0
RT_CoDi4.3	RT	256	0.1051	0.0	0
RT_CoDi4.5	RT	255	0.0821	0.0	0
RT_CoDi4.1	RT	216	0.1375	0.0	0
RT_CoDi4.4	RT	260	0.0635	0.0	0
RT_CoDi3.1	RT	254	0.09	0.0	0
RT_CoDi2.4	RT	253	0.0721	0.0	0
RT_CoDi7.1	RT	247	0.0459	0.0	0
RT_Osser	RT	251	0.0546	0.0	0
RT_PyRE1G1	RT	249	0.1137	0.0	0
GAG_Spirobel	GAG	434	0.2107	0.1406	0
AP_Spirobel	AP	165	0.1171	0.0	0
RT_Spirobel	RT	417	0.0842	0.0	0
RNaseH_Spirobel	RNaseH	191	0.2976	0.3246	0
GAG_Tribel	GAG	494	0.3313	0.3219	0
AP_Tribel	AP	130	0.202	0.0	0
RT_Tribel	RT	434	0.119	0.0369	0
RNaseH_Tribel	RNaseH	204	0.2287	0.1618	0
AP_Nabel	AP	153	0.1434	0.0	0
RT_Nabel	RT	406	0.0655	0.0	0
RNaseH_Nabel	RNaseH	174	0.1711	0.0	0
GAG_Purbel	GAG	465	0.2969	0.2731	0
AP_Purbel	AP	143	0.1199	0.0	0
RT_Purbel	RT	433	0.1042	0.0	0
RNaseH_Purbel	RNaseH	167	0.0917	0.0	0
GAG_Hydra3-1	GAG	404	0.2379	0.1337	0
AP_Hydra3-1	AP	155	0.1184	0.0	0
RT_Hydra3-1	RT	438	0.1031	0.0	0
RNaseH_Hydra3-1	RNaseH	186	0.2079	0.2688	0
REV_SIVMND	REV	101	0.4213	0.6337	0
NEF_SIVMND	NEF	214	0.3466	0.3972	0
TAT_SIVMND	TAT	100	0.2549	0.17	0
VPX_SIVAGM	VPX	117	0.3624	0.2308	0
VPR_SIVMND	VPR	104	0.3378	0.3462	0
VIF_SIVAGM	VIF	162	0.0726	0.0	0
VIF_SIVMND	VIF	167	0.1231	0.0	0
CHR_Bagy-1	CHR	51	0.396	0.0	0
CHR_Retrosat-2	CHR	49	0.627	1.0	0
CHR_Legolas	CHR	51	0.3279	0.0	0
CHR_Tma	CHR	52	0.1707	0.0	0
CHR_Peabody	CHR	51	0.2809	0.0	0
CHR_Del	CHR	51	0.2619	0.0	0
CHR_Gimli	CHR	52	0.1688	0.0	0
CHR_Gloin	CHR	49	0.2215	0.0	0
CHR_Cft-1	CHR	44	0.1615	0.0	0
CHR_Pyret	CHR	48	0.3706	0.0	0
CHR_Cgret	CHR	49	0.3404	1.0	0
CHR_Skipper	CHR	43	0.147	0.0	0
CHR_Maggy	CHR	50	0.1736	0.0	0
CHR_Dane-1	CHR	50	0.5803	1.0	0
CHR_Real	CHR	49	0.187	0.0	0
CHR_Pyggy	CHR	44	0.1768	0.0	0
CHR_Grasshopper	CHR	48	0.2772	0.0	0
CHR_Sushi-ichi	CHR	47	0.4255	1.0	0
CHR_marY1	CHR	47	0.3061	0.0	0
CHR_Skippy	CHR	48	0.271	0.0	0
CHR_Ifg7	CHR	50	0.3865	0.0	0
CHR_Monkey	CHR	53	0.2389	0.0	0
CHR_Galadriel	CHR	53	0.1611	0.0	0
CHR_Reina	CHR	46	0.4624	1.0	0
CHR_MGLR3	CHR	47	0.1525	0.0	0
CHR_Tntom1	CHR	53	0.4879	0.0	0
CHR_histoneacetyltransferase	CHR	54	0.2502	0.0	0
CHR_ECp181-carrot	CHR	50	0.2702	0.26	0
CHR_ESA1	CHR	46	0.1935	0.0	0
CHR_VC5.4	CHR	46	0.1565	0.0	0
CHR_A33_PLEWA	CHR	50	0.2495	0.0	0
CHR_MOF	CHR	53	0.4765	1.0	0
CHR_ALP13	CHR	57	0.1228	0.0	0
CHR_MRG15	CHR	57	0.1143	0.0	0
CHR_MSL3-like	CHR	67	0.181	0.0	0
CHR_MSL-3	CHR	67	0.1882	0.0	0
CHR_MPc2	CHR	47	0.2723	0.0	0
CHR_POLYCOMB	CHR	47	0.1536	0.0	0
CHR_Suv39h1	CHR	47	0.1695	0.0	0
CHR_PDDp3	CHR	50	0.1478	0.0	0
CHR_CHRp	CHR	44	0.3399	0.0	0
CHR_T12E12.2	CHR	59	0.2623	0.0	0
CHR_H3-K9-HMTase	CHR	47	0.1613	0.0	0
CHR_LdPh	CHR	50	0.2362	0.0	0
CHR_SD06626p	CHR	50	0.1541	0.0	0
CHR_CG18186	CHR	48	0.1371	0.0	0
CHR_CG10683-PA	CHR	48	0.2094	0.0	0
CHR_C15H11.5	CHR	46	0.2802	0.0	0
CHR_Clr4	CHR	50	0.2522	0.0	0
CHR_T09A5.8	CHR	49	0.2165	0.0	0
CHR_CMT1	CHR	54	0.1441	0.0	0
CHR_CMT3	CHR	54	0.237	0.0	0
CHR_ZMET5	CHR	52	0.2083	0.0	0
CHR_F13C5.190	CHR	56	0.1386	0.0	0
CHR_PDD1	CHR	50	0.1831	0.0	0
CHR_polycomb-like	CHR	48	0.2773	0.0	0
CHR_TsCpYp2	CHR	49	0.3234	0.0	0
CHR_F32E10.2	CHR	49	0.1267	0.0	0
CHR_F32E10.6	CHR	51	0.2893	0.0	0
CHR_3B49	CHR	52	0.13	0.0	0
CHR_CHRassSWI6	CHR	51	0.2186	0.0	0
CHR_FYSp	CHR	51	0.3059	0.0	0
CHR_CG8120-PA	CHR	47	0.3067	0.0	0
CHR_CHRBOXp	CHR	47	0.269	0.0	0
CHR_C29H12.5	CHR	49	0.508	1.0	0
CHR_C50A2.2	CHR	51	0.2877	0.0	0
CHR_F11C18.100	CHR	65	0.3055	0.3846	0
CHR_F26F12.7	CHR	71	0.6451	1.0	0
CHR_CHD-4	CHR	75	0.5179	1.0	0
CHR_CHD-3	CHR	75	0.5059	1.0	0
CHR_dMi-2	CHR	67	0.3739	0.4478	0
CHR_DmCHD3	CHR	61	0.211	0.0	0
CHR_KIAA1416	CHR	60	0.298	0.3167	0
CHR_Beta-catenin	CHR	60	0.1235	0.0	0
CHR_PTEF	CHR	50	0.1522	0.0	0
CHR_EF-3CVK2	CHR	49	0.2324	0.0	0
CHR_CHD-1	CHR	49	0.1934	0.0	0
CHR_hrp1	CHR	60	0.291	0.0	0
CHR_CHD-1b	CHR	58	0.3708	0.2759	0
CHR_CHD-2	CHR	58	0.3102	0.2759	0
CHR_DmCHDNABP	CHR	62	0.3006	0.3065	0
CHR_L9MH3	CHR	47	0.2849	0.0	0
CHR_HP1	CHR	47	0.2518	0.0	0
CHR_CEC-1	CHR	47	0.3393	0.0	0
CHR_HaP1-like	CHR	47	0.3672	0.0	0
CHR_CAO	CHR	47	0.2884	0.0	0
CHR_H06001.2	CHR	53	0.4021	0.3208	0
CHR_hrp3	CHR	50	0.1322	0.0	0
CHR_GYMNOS	CHR	48	0.1867	0.0	0
CHR_ATCH-DNA-binding	CHR	53	0.1027	0.0	0
CHR_CG3696-PA	CHR	52	0.4897	1.0	0
CHR_HsCHDNABP5	CHR	52	0.2286	0.0	0
CHR_T04D1.4	CHR	47	0.1464	0.0	0
CHR_K06A5.1	CHR	50	0.369	1.0	0
CHR_HsZinc-fingerhelicase	CHR	50	0.483	1.0	0
CHR_HP1Ce	CHR	47	0.2049	0.0	0
CHR_K01G5.2	CHR	48	0.3524	0.0	0
CHR_T32E20.30	CHR	48	0.1149	0.0	0
CHR_Y37D8A.11	CHR	56	0.1598	0.0	0
CHR_RBBP-1	CHR	64	0.1436	0.0	0
CHR_CSAHP1M31	CHR	48	0.3465	0.0	0
CHR_CSCG15636-PA	CHR	48	0.2852	0.0	0
CHR_CSHP1	CHR	48	0.3373	0.0	0
CHR_CSK01G5.2	CHR	46	0.2452	0.0	0
CHR_CSHP1Ce	CHR	46	0.175	0.0	0
CHR_CSFYSwi6	CHR	47	0.3644	0.0	0
CHR_CSFYSp	CHR	47	0.1618	0.0	0
CHR_CSPolycomb-like	CHR	64	0.2379	0.0	0
CHR_CSLHP1At	CHR	51	0.2723	0.0	0
CHR_CSpolycombOs	CHR	51	0.3677	0.0	0
CHR_CSHP1Le	CHR	51	0.2329	0.0	0
ENV_RCHO-K1	ENV	591	0.3783	0.4095	0
ENV_KoRV	ENV	659	0.1864	0.1184	0
ENV_HERV-E	ENV	670	0.099	0.0597	0
ENV_HERV-K10	ENV	400	0.1642	0.0625	0
ENV_PERV-MSL	ENV	638	0.1982	0.1191	0
ENV_RTVL-Ia	ENV	111	0.4426	0.3063	0
ENV_Cer1	ENV	412	0.1761	0.1214	0
ENV_Nomad	ENV	153	0.0828	0.0	0
ENV_WdSV	ENV	1225	0.2459	0.1698	0
ENV_Cyclops-2	ENV	422	0.3055	0.2678	0
ENV_Calypso2-1	ENV	417	0.311	0.3837	0
ENV_Athila4-1	ENV	619	0.3488	0.3021	0
ENV_17.6	ENV	451	0.1515	0.0576	0
ENV_297	ENV	451	0.1463	0.0643	0
ENV_Tom	ENV	453	0.1516	0.0618	0
ENV_Idefix	ENV	450	0.116	0.0	0
ENV_Zam	ENV	520	0.1448	0.0481	0
ENV_Ted	ENV	553	0.0938	0.0579	0
ENV_Tv1	ENV	221	0.1216	0.0	0
ENV_Gypsy	ENV	471	0.0957	0.0297	0
ENV_Gypsyvir	ENV	465	0.0799	0.028	0
ENV_Springer	ENV	421	0.0865	0.0	0
ENV_Yoyo	ENV	484	0.1091	0.0558	0
ENV_Osvaldo	ENV	367	0.7616	1.0	0
ENV_VMV	ENV	366	0.2269	0.2322	0
ENV_HIV-2	ENV	345	0.0947	0.0464	0
ENV_SIVMAC	ENV	355	0.1052	0.0423	0
ENV_HIV-1	ENV	353	0.1128	0.0	0
ENV_SA-OMVV	ENV	381	0.1394	0.0446	0
ENV_CAEV	ENV	382	0.1732	0.0995	0
ENV_SIVMND	ENV	354	0.07	0.0	0
ENV_FIV	ENV	368	0.0873	0.0	0
ENV_BIV	ENV	375	0.0938	0.0	0
ENV_SIVAGM	ENV	363	0.108	0.0	0
ENV_EIAV	ENV	316	0.0873	0.0	0
ENV_SERV	ENV	327	0.0902	0.0	0
ENV_SRV-1	ENV	333	0.069	0.0	0
ENV_MPMV	ENV	332	0.0778	0.0	0
ENV_SMRV-H	ENV	322	0.1885	0.1957	0
ENV_JSRV	ENV	340	0.0637	0.0	0
ENV_MMTV	ENV	345	0.0444	0.0	0
ENV_RSV	ENV	323	0.0949	0.0	0
ENV_LPDV	ENV	315	0.2109	0.1206	0
ENV-SFV-1	ENV-SFV-1	848	0.1179	0.02	0
ENV-HFV	ENV-HFV	847	0.1219	0.0614	0
ENV_FeLV	ENV	328	0.0663	0.0	0
ENV_MuLV	ENV	328	0.058	0.0	0
ENV_GALV	ENV	331	0.0524	0.0	0
ENV_MdEV	ENV	327	0.0733	0.0	0
ENV_BAEVM	ENV	325	0.07	0.0	0
ENV_REV	ENV	328	0.0624	0.0	0
ENV_HTLV-2	ENV	266	0.4255	0.5	0
ENV_STcLV2PP1664	ENV	266	0.3724	0.4098	0
ENV_HTLV-1	ENV	266	0.335	0.4098	0
ENV_BLV	ENV	268	0.1154	0.0	0
GAG_Cer4	GAG	311	0.2444	0.3666	0
GAG_Cer5	GAG	264	0.344	0.3674	0
GAG_Cer6	GAG	364	0.2952	0.2665	0
GAG_SURL	GAG	274	0.3224	0.365	0
GAG_Mag	GAG	314	0.2712	0.2452	0
GAG_Gulliver	GAG	231	0.1068	0.0	0
GAG_Bagy-2	GAG	386	0.1491	0.0648	0
GAG_Athila4-1	GAG	615	0.5807	0.6276	1
GAG_Calypso5-1	GAG	427	0.2695	0.2272	1
GAG_GALV	GAG	504	0.3469	0.3671	0
GAG_KoRV	GAG	510	0.3646	0.398	0
GAG_REV	GAG	484	0.3868	0.3988	0
GAG_HERV-E	GAG	493	0.2898	0.2617	0
GAG_RTVL-Ia	GAG	232	0.4336	0.4224	0
GAG_MdEV	GAG	505	0.3227	0.3842	0
GAG_PERV-MSL	GAG	508	0.3484	0.3957	0
GAG_FeLV	GAG	493	0.3503	0.3164	0
GAG_RCHO-K1	GAG	496	0.3632	0.3306	0
GAG_BAEVM	GAG	518	0.3532	0.3185	0
GAG_WdSV	GAG	487	0.3364	0.3039	0
GAG_MuLV	GAG	518	0.3826	0.4073	0
GAG_LPDV	GAG	667	0.3763	0.3058	0
GAG_RSV	GAG	541	0.3496	0.342	0
GAG_MPMV	GAG	594	0.2856	0.2391	0
GAG_HERV-K10	GAG	645	0.3189	0.2853	0
GAG_MMTV	GAG	569	0.2832	0.2496	0
GAG_SERV	GAG	595	0.2878	0.2521	0
GAG_SRV-1	GAG	595	0.319	0.2571	0
GAG_JSRV	GAG	553	0.2371	0.1429	0
GAG_SMRV-H	GAG	663	0.5132	0.5098	0
GAG_STcLV2PP1664	GAG	410	0.3147	0.261	0
GAG_HTLV-2	GAG	410	0.3297	0.2683	0
GAG_HTLV-1	GAG	406	0.303	0.197	0
GAG_BLV	GAG	392	0.3036	0.3036	0
GAG_HFV	GAG	528	0.3939	0.3598	0
GAG_SFV-1	GAG	533	0.3945	0.364	0
GAG_MuERV-L	GAG	414	0.3165	0.2923	0
GAG_SA-OMVV	GAG	431	0.1371	0.0302	0
GAG_CAEV	GAG	426	0.1744	0.0	0
GAG_FIV	GAG	422	0.1301	0.0403	0
GAG_BIV	GAG	449	0.2506	0.2294	0
GAG_EIAV	GAG	427	0.1004	0.0	0
GAG_HIV-2	GAG	438	0.2167	0.1096	0
GAG_HIV-1	GAG	436	0.2137	0.1399	0
GAG_VMV	GAG	435	0.1428	0.0299	0
GAG_SIVMAC	GAG	440	0.2049	0.1045	0
GAG_SIVAGM	GAG	449	0.2312	0.1849	0
GAG_SIVMND	GAG	435	0.2047	0.1287	0
GAG_ORF1_Ogre	GAG	546	0.0928	0.0	0
GAG__ORF2_Ogre	GAG	839	0.5055	0.5673	0
GAG_B1147A04.5	GAG	339	0.5179	0.5841	0
GAG_Tat4-1	GAG	545	0.5067	0.589	0
GAG_Tft2	GAG	393	0.3447	0.3817	0
GAG_CRM	GAG	408	0.4095	0.4191	0
GAG_Beetle1	GAG	359	0.3321	0.2674	0
GAG_Tntom1	GAG	149	0.0886	0.0	0
GAG_RetroSor1	GAG	617	0.6072	0.6418	0
GAG_Cereba	GAG	382	0.4818	0.5942	0
GAG_Reina	GAG	428	0.4386	0.3902	0
GAG_Gloin	GAG	228	0.2512	0.3377	0
GAG_Gimli	GAG	371	0.3418	0.2722	0
GAG_Ifg7	GAG	167	0.3223	0.4251	0
GAG_Cereba_Cter_reverse	GAG	319	0.1518	0.0	0
GAG_Monkey	GAG	162	0.3807	0.4012	0
GAG_Galadriel	GAG	389	0.3118	0.3239	0
GAG_Del	GAG	289	0.3389	0.3564	0
GAG_Legolas	GAG	509	0.3799	0.3811	0
GAG_Peabody	GAG	354	0.2307	0.2147	0
GAG_Retrosat-2	GAG	416	0.4524	0.4856	1
GAG_Bagy-1	GAG	334	0.3836	0.3922	0
GAG_Mdg3	GAG	392	0.3827	0.3367	0
GAG_Blastopia	GAG	318	0.2515	0.1698	0
GAG_Micropia	GAG	276	0.2367	0.308	0
GAG_Skipper	GAG	382	0.3882	0.3743	0
GAG_Ty3-1	GAG	307	0.3474	0.4202	0
GAG_Tse3	GAG	255	0.3332	0.298	0
GAG_Tma	GAG	297	0.4118	0.33	0
GAG_Diaspora	GAG	660	0.5027	0.5424	1
GAG_Cyclops-2	GAG	666	0.485	0.509	1
GAG_Circe	GAG	299	0.303	0.194	0
GAG_RIRE2	GAG	740	0.6213	0.7676	0
GAG_Grande1-4	GAG	437	0.5288	0.6018	0
GAG_Cigr-1	GAG	300	0.322	0.27	0
GAG_Woot	GAG	425	0.5863	0.5906	1
GAG_CsRN1	GAG	250	0.2668	0.36	0
GAG_Kabuki	GAG	257	0.2323	0.2218	0
GAG_Osvaldo	GAG	413	0.3374	0.3317	0
GAG_Ulysses	GAG	482	0.602	0.6286	0
GAG_Cer1	GAG	733	0.4456	0.4175	0
GAG_Mdg1	GAG	451	0.3071	0.2284	1
GAG_412	GAG	687	0.4322	0.4294	1
GAG_Cer2	GAG	613	0.4448	0.5155	0
GAG_Cer3	GAG	514	0.4354	0.4747	0
GAG_TF2	GAG	269	0.3157	0.2751	0
GAG_TF1	GAG	266	0.2991	0.3195	0
GAG_Sushi-ichi	GAG	371	0.3583	0.3827	0
GAG_MGLR3	GAG	459	0.4803	0.4336	0
GAG_Grasshopper	GAG	349	0.3687	0.3266	0
GAG_Real	GAG	406	0.4007	0.4631	0
GAG_Pyggy	GAG	402	0.3954	0.4453	0
GAG_marY1	GAG	372	0.3497	0.4355	0
GAG_Maggy	GAG	457	0.4134	0.3895	0
GAG_Cft-1	GAG	639	0.4895	0.5055	0
GAG_Skippy	GAG	853	0.4665	0.5533	0
GAG_Cgret	GAG	837	0.4957	0.4946	1
GAG_Pyret	GAG	638	0.5207	0.5016	0
GAG_Dane-1	GAG	263	0.3674	0.4297	0
GAG_HMS-Beagle	GAG	467	0.4638	0.4839	1
GAG_Yoyo	GAG	470	0.4974	0.5	1
GAG_Gypsyvir	GAG	451	0.3697	0.408	0
GAG_Gypsy	GAG	451	0.4109	0.4257	0
GAG_Springer	GAG	454	0.4321	0.4251	0
GAG_Burdock	GAG	497	0.4377	0.4748	1
GAG_Nomad	GAG	417	0.4292	0.3933	1
GAG_Ted	GAG	410	0.5147	0.5244	0
GAG_Zam	GAG	343	0.3874	0.4402	0
GAG_Tv1	GAG	261	0.3204	0.2912	0
GAG_Idefix	GAG	347	0.4364	0.438	1
GAG_Tom	GAG	398	0.5606	0.5779	1
GAG_297	GAG	414	0.5411	0.5266	1
GAG_17.6	GAG	439	0.5673	0.5581	1
AP_CND41	AP	477	0.2036	0.1929	0
AP_Nepheneshin_II	AP	438	0.3553	0.4041	0
AP_Nucelin	AP	410	0.1202	0.0488	0
AP_AtASP38	AP	453	0.2185	0.181	0
AP_NM_114992.1	AP	529	0.246	0.1928	0
AP_SASPase_Mus_musculus	AP	339	0.3019	0.3274	0
AP_SASPase_Homo_sapiens	AP	343	0.2926	0.3265	0
AP_SASPase_Pan_troglodytes	AP	343	0.2925	0.3265	0
AP_SASPase_Bos_taurus	AP	313	0.1917	0.1661	0
AP_SASPase_Monodelphis_domestica	AP	314	0.1802	0.0955	0
AP_SASPase_Canis_familiaris	AP	298	0.173	0.0973	0
AP_DDIMfas	AP	396	0.2843	0.2424	0
AP_DDIMmus	AP	408	0.2851	0.2279	0
AP_DDIDan	AP	409	0.2424	0.154	0
AP_DDIRnor	AP	986	0.6583	0.6247	0
AP_DDIHum	AP	419	0.215	0.1432	0
AP_DDIXen	AP	393	0.2028	0.1247	0
AP_DDIDro	AP	458	0.3292	0.2664	0
AP_DDIan	AP	454	0.3216	0.3392	0
AP_DDISpom	AP	332	0.3246	0.2892	0
AP_DDIAni	AP	433	0.3302	0.3695	0
AP_DDINcra	AP	465	0.2844	0.2065	0
AP_DDIGzea	AP	600	0.3331	0.245	0
AP_DDIMgri	AP	495	0.3856	0.3212	0
AP_DDICer	AP	856	0.1712	0.0397	0
AP_DDILei	AP	390	0.3537	0.3513	0
AP_DDIAra	AP	395	0.3355	0.3671	0
AP_DDIPfal	AP	382	0.2042	0.1387	0
AP_DDIPyoe	AP	385	0.2167	0.1195	0
AP_DDIGlam	AP	257	0.0577	0.0	0
AP_DDICbri	AP	229	0.072	0.0	0
AP_Cparapcan	AP	402	0.1203	0.0771	0
AP_SAP7can	AP	588	0.2685	0.267	0
AP_hMemap1	AP	518	0.1566	0.1448	0
AP_hMemap2	AP	488	0.1213	0.0861	0
AP_Enpepcry	AP	419	0.1807	0.1074	0
AP_Sypepsyn	AP	395	0.1193	0.0608	0
AP_PepFequ	AP	388	0.0735	0.0361	0
AP_CatExen	AP	397	0.0987	0.0831	0
AP_Gastmac	AP	377	0.0569	0.0	0
AP_PepArin	AP	386	0.0996	0.0492	0
AP_Pepgal	AP	383	0.0946	0.0444	0
AP_CatDonc	AP	398	0.1049	0.0528	0
AP_CatDhum	AP	413	0.1264	0.0896	0
AP_CatDchi	AP	396	0.1153	0.1111	0
AP_CatDgal	AP	398	0.0863	0.0553	0
AP_CatDdro	AP	392	0.0949	0.0587	0
AP_CatDceg	AP	444	0.1313	0.1284	0
AP_CatDhyn	AP	397	0.0817	0.0579	0
AP_CatDschi	AP	429	0.0954	0.0373	0
AP_Renrat	AP	402	0.0892	0.0597	0
AP_Rencal	AP	400	0.1126	0.0725	0
AP_Napamo	AP	419	0.1311	0.1002	0
AP_Sccpepcan	AP	419	0.0744	0.0477	0
AP_Mucorhi	AP	430	0.1374	0.0791	0
AP_Eimpeim	AP	468	0.117	0.1068	0
AP_Plasmep	AP	452	0.1109	0.0686	0
AP_Bs1	AP	149	0.6451	1.0	0
AP_Monkey	AP	84	0.2929	0.0	0
AP_Tntom1	AP	85	0.2182	0.0	0
AP_Gloin	AP	86	0.3503	0.2791	0
AP_Ifg7	AP	84	0.1901	0.0	0
AP_Reina	AP	85	0.2661	0.1529	0
AP_Galadriel	AP	84	0.1383	0.0	0
AP_Gimli	AP	85	0.2107	0.0	0
AP_Legolas	AP	87	0.1683	0.0	0
AP_T32022.14	AP	87	0.3927	0.4368	0
AP_Tma	AP	87	0.2552	0.2529	0
AP_Del	AP	87	0.1486	0.0	0
AP_Peabody	AP	88	0.4428	0.5568	0
AP_Retrosat-2	AP	86	0.4625	0.5116	0
AP_Cereba	AP	89	0.2104	0.0	0
AP_Bagy-1	AP	86	0.4115	0.4767	0
AP_CRM	AP	89	0.3024	0.0	0
AP_Beetle1	AP	89	0.3081	0.1461	0
AP_Tse3	AP	84	0.1608	0.0	0
AP_Dane-1	AP	88	0.2797	0.0	0
AP_Cgret	AP	92	0.5624	1.0	0
AP_Cft-1	AP	88	0.5449	1.0	0
AP_Skippy	AP	92	0.1788	0.0	0
AP_Ty3-1	AP	84	0.1235	0.0	0
AP_Pyret	AP	92	0.2141	0.0	0
AP_marY1	AP	89	0.2455	0.0	0
AP_Maggy	AP	91	0.1707	0.0	0
AP_Real	AP	86	0.1155	0.0	0
AP_MGLR3	AP	92	0.1675	0.0	0
AP_Grasshopper	AP	88	0.2322	0.0	0
AP_Pyggy	AP	87	0.1398	0.0	0
AP_Sushi-ichi	AP	89	0.6039	1.0	0
AP_FLJ38865	AP	90	0.2342	0.0	0
AP_AfRTL-1	AP	91	0.5245	0.5275	0
AP_Skipper	AP	87	0.2101	0.0	0
AP_TF2	AP	83	0.3006	0.0	0
AP_TF1	AP	83	0.2104	0.0	0
AP_RetroSor1	AP	89	0.1919	0.0	0
AP_Cinful-1	AP	89	0.0909	0.0	0
AP_B1147A04.5	AP	88	0.1914	0.0	0
AP_Ogre	AP	85	0.1643	0.0	0
AP_Grande1-4	AP	90	0.1139	0.0	0
AP_Tat4-1	AP	85	0.1395	0.0	0
AP_Tft2	AP	85	0.158	0.0	0
AP_Tft1	AP	84	0.1791	0.0	0
AP_Orizacinful	AP	90	0.1873	0.0	0
AP_RIRE2	AP	90	0.2398	0.0	0
AP_Athila4-1	AP	89	0.1482	0.0	0
AP_Diaspora	AP	92	0.1766	0.0	0
AP_BAB61168.1	AP	89	0.1715	0.0	0
AP_Calypso4-1	AP	89	0.1919	0.0	0
AP_Cyclops-2	AP	88	0.1933	0.0	0
AP_VfCiclops2	AP	89	0.1683	0.0	0
AP_Bagy-2	AP	92	0.1623	0.0	0
AP_Rigy-2	AP	89	0.1438	0.0	0
AP_Calypso5-1	AP	89	0.1961	0.0	0
AP_HIV-1	AP	76	0.1743	0.0	0
AP_KoRV	AP	75	0.3708	0.36	0
AP_PERV-MSL	AP	75	0.287	0.0	0
AP_RCHO-K1	AP	75	0.3288	0.2533	0
AP_HERV-E	AP	76	0.2495	0.1711	0
AP_RTVL-Ia	AP	79	0.2547	0.1899	0
AP_GALV	AP	75	0.3763	0.36	0
AP_MdEV	AP	75	0.2658	0.1867	0
AP_Q88269	AP	78	0.4806	1.0	0
AP_REV	AP	76	0.2567	0.1974	0
AP_FeLV	AP	75	0.3179	0.2533	0
AP_FSV	AP	84	0.2896	0.2857	0
AP_HFV	AP	84	0.1576	0.0	0
AP_SFV-3	AP	84	0.1421	0.0	0
AP_SFV-1	AP	84	0.1347	0.0	0
AP_MuLV	AP	75	0.3058	0.2533	0
AP_BAEVM	AP	75	0.5039	0.4667	0
AP_SMRV-H	AP	81	0.3475	0.0	0
AP_SERV	AP	81	0.3817	0.0	0
